,seed,condition,explSatisfactionRetroAvg,retroScoreTotal
4,1287063839,H+S,4.2,2.5
17,1458931010,L,2.25,0.0
21,1443211561,L,3.75,4.5
22,434507198,L,4.5,4.0
43,336862049,L+S,4.0,0.5
61,207578679,L+S,3.2,0.5
64,1522973322,H,4.0,3.0
67,734667562,L+S,3.0,1.5
70,586314234,L,3.25,0.5
81,1214452674,H,3.75,1.0
90,1033741460,H,3.75,2.5
91,2105134459,H,3.75,1.5
97,2039935304,L,2.75,2.0
104,1050764248,H,3.0,5.0
105,1670923366,L+S,4.8,-0.5
119,500228672,H+S,4.0,2.5
123,277868103,H+S,4.0,2.0
128,825665266,H+S,2.4,4.0
131,65036542,H+S,2.2,0.5
