;SESSION ID: SEED;557891865;68830474;2002681643;1874171834;1287063839;1715065669;775534312;1870822282;623632743;1635293521;1148084735;1305723632;38889676;699418992;1759357643;427496151;2096912988;1458931010;757835757;282648137;236530476;1443211561;434507198;1837403809;1652412399;1432055056;593990547;705313840;477505071;1465278508;1252980757;1382675841;1577044212;226326109;2089098343;789380701;1326821841;235688020;50717169;2023067297;1163374281;602903627;653376958;336862049;1807248927;1822477299;541176760;2087412518;1578423006;852621363;1048448609;367396291;222246938;683399566;1767874510;1715131218;1178614946;978303634;1301809332;658809771;693097930;207578679;1846741617;1131549883;1522973322;637219723;1590186338;734667562;367149909;681384786;586314234;732458090;1984219625;250742246;94744373;2055234162;217310984;1904049906;1691964260;1996232861;895906296;1214452674;1623276610;275354404;1646779043;1913892039;1177820867;59175996;1346594710;1512760383;1033741460;2105134459;1799629507;391897227;2101759680;70904040;153642576;2039935304;1322916604;1360625841;1634361010;33748036;1781403286;1517155957;1050764248;1670923366;1129583388;1415842611;115781795;1276897970;1358592148;1887854499;760811517;1830467496;2141819360;1709611248;1391761301;1138593938;253565907;500228672;314104341;1067017888;2093125023;277868103;844429979;516288534;330751914;1243732942;825665266;740325100;1765257760;65036542;1293926800
Power Pills;eating PP;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;1;;;;;;;1;1;;;;;;;;;;;1;;;;;;;;1;;1;;;;1;;;;;;;;;;;;;1;;;1;;;1;1;1;;1;1;;;1;;;;1;1;;;;;1;;;;;;;;;;1;;;;;1;;;;;;
;eating as many PP as possible;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;eat PP when ghosts are near;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;
;prioritizing PP;;;;;;;;;;;;;;;;;;;1;1;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;
;prioritizing PP to eat ghosts;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;1;;1;1;;;;;;;;1;;1;1;;;;;;;;1;1;;1;;;;;1;;;;;1;;;;;;;;;;;;1;;;1;1;;;;;;;;;;;;;;;;1;;;;;;;;1;;;1;;;;;;;1;;;;;
;prioritizing PP , but not eat ghosts;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;do not care about PP;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
;eat PP to get points;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Normal Pills;eating NP;;;1;1;;;1;;;1;;;1;;;;;;;;;;;;;;;;;;1;1;;1;;1;;;;;;;;;;1;1;;1;;1;;;;;1;1;;;;;1;;;;;;1;1;1;1;1;;;;;1;;;;;;1;;1;1;1;;;;1;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;1;;;
;eating as many NP as possible;;;;;;;;;;;;;;;;;1;;;;;;;;;1;;;;;;;;;;;1;1;;;;;;;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;
