,id,lastpage,seed,age,gender,gender[other],colorVision,experiencePacman,experienceAI,experienceAI2[1],experienceAI2[2],experienceAI2[3],experienceAI2[4],experienceAI2[5],experienceAI2[other],outcomeAI[1],randVideoSeed,randnumber,retrospectionClicks2,Intention2,retrospection2[1],retrospection2[2],retrospection2[3],retrospection2[4],retrospection2[5],retrospection2[6],RetrospectionConf2[predictConf1],RetrospectionExpl2,retrospectionClicks3,Intention3,retrospection3[1],retrospection3[2],retrospection3[3],retrospection3[4],retrospection3[5],retrospection3[6],RetrospectionConf3[predictConf1],RetrospectionExpl3,retrospectionClicks1,Intention1,retrospection1[1],retrospection1[2],retrospection1[3],retrospection1[4],retrospection1[5],retrospection1[6],RetrospectionConf1[predictConf1],RetrospectionExpl1,explSatisfaction1[1],explSatisfaction1[2],explSatisfaction1[3],explSatisfaction1[4],explSatisfaction1[5],explSatisfaction1[6],comment1,videoClicks2A,videoClicks2B,trustBool2,trustConfidence2[confidence1],trustExpl2,videoClicks3A,videoClicks3B,trustBool3,trustConfidence3[confidence1],trustExpl3,videoClicks1A,videoClicks1B,trustBool1,trustConfidence1[confidence1],trustExpl1,explSatisfaction2[1],explSatisfaction2[2],explSatisfaction2[3],explSatisfaction2[4],explSatisfaction2[5],explSatisfaction2[6],comment2,bonus,code,interviewtime,demographicsTime,retro2Time,retro3Time,retro1Time,trust2Time,trust3Time,trust1Time,retrospection1Points,retrospection1Goal,retrospection2Points,retrospection2Goal,retrospection3Points,retrospection3Goal,trust1correct,trust2correct,trust3correct
1,98,17,557891865,3.0,2.0,,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0,4.0,5,2,1.0,I think this agent played the game like a typical pacman player. He went after the regular pills and used the power pills if he came across them..,1.0,1.0,0.0,0.0,0.0,0.0,4.0,I think that the agent went after the normal pills to get the most points and then the power pills when he needed help with the ghosts.,1.0,The agent went after as many blue ghosts as possible ,0.0,0.0,0.0,0.0,1.0,0.0,5.0,It seemed like that was what the agent sought after the most,1.0,The agent wanted to get all of the power pills first ,0.0,0.0,1.0,0.0,0.0,0.0,5.0,I noticed that the power pills is where the agent went straight away. ,4.0,4.0,2.0,4.0,,,,1.0,1.0,1.0,6.0,I think the that video A shows a smarter strategy than B,1.0,1.0,1.0,5.0,I picked A again because I think that A does a more effective job when it comes to the power pills and eating the ghosts ,1.0,1.0,2.0,5.0,I think that B does a better job with the power pills and not wasting them,4.0,4.0,2.0,4.0,,,,50.0,118da227b,843.45,91.62,129.07,84.25,93.76,81.05,72.4,53.13,1.0,1.0,0.5,0.0,1.0,0.0,1,1,1
2,99,17,68830474,6.0,1.0,,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0,4.0,9,3,2.0,The strategy was to guess which way the ghosts were going to go and to change their path by changing it's own path.,1.0,1.0,0.0,1.0,0.0,0.0,6.0,The pacman obviously waited in certain situations or moved erratically to confuse the ghosts into changing directions.,2.0,The pacman's strategy was to collect as many normal pills as possible while avoiding the ghosts.,1.0,1.0,0.0,1.0,0.0,0.0,6.0,It seemed obvious that pacman was collecting small pills while trying to avoid ghosts. ,5.0,The agent seems stuck often. It may be waiting for ghosts to get closer.. There does not seem to be any strategy in this particular situation other than finding normal pills and hiding in the crossover.,1.0,1.0,0.0,0.0,0.0,0.0,2.0,I didn't see a strategy so I am not very confident in my answer.,4.0,4.0,5.0,,2.0,4.0,none,1.0,1.0,1.0,7.0,Pacman A played the game logically while pacman  B was confused and stopped often.,1.0,2.0,2.0,7.0,Pacman B collected as many points as possible while successfully avoiding ghosts.,1.0,1.0,2.0,6.0,"Pacman A was confused about which direction to move in, if he moved at all.",3.0,5.0,2.0,,5.0,2.0,none,40.0,203ea227b,1447.16,67.36,171.38,166.49,286.86,88.36,81.64,89.84,0.0,0.0,0.0,0.0,1.5,1.0,1,1,0
3,100,17,2002681643,4.0,2.0,,0.0,4.0,0.0,,,,,,,6.0,7,2,1.0,"It seems like the agent tried to eat as many ghosts as possible, while also eating the pills. Areas were cleared haphazardly.",1.0,0.0,1.0,0.0,1.0,0.0,6.0,The agent ate a few ghosts and a few pills and didn't seem to favor one over the other.,1.0,This agent seems to be trying to clear as many pills as possible while also eating ghosts. ,1.0,1.0,0.0,0.0,1.0,0.0,5.0,"It's hard to know what the AI is trying to do. If it plays well, it just comes across as someone playing a normal pacman game and trying not to die?",1.0,"It seems like the agent's strategy was to avoid the ghosts, not even eating them when they turned blue.",1.0,1.0,1.0,0.0,0.0,0.0,5.0,"The agent focused only on eating both kinds of pills, and avoided the ghosts. I did not see him eat any fruit.",2.0,1.0,3.0,2.0,,,This is a little confusing honestly,1.0,1.0,1.0,6.0,"Player A was eating  ghost, fruit, and pills which gets more points than B who only ate pills",1.0,1.0,2.0,5.0,Player B ate ghosts and fruit and cleared more of the pills.,1.0,1.0,2.0,6.0,Player B was eating ghosts. Player A was avoiding them. Ghosts are worth more points.,3.0,4.0,3.0,3.0,,,Honestly still a little confused,40.0,77ea227b,825.83,52.88,102.88,112.12,113.67,83.45,66.88,75.96,1.0,1.0,1.5,1.0,1.5,0.0,1,1,0
5,102,17,1874171834,3.0,2.0,,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0,3.0,9,3,4.0,"This AI seemed to find areas where it had already collected all the regular pills relevant, as those areas appear to have green pixels on them.  I think it must be trying to keep track of where it has already been in order to find new areas to collect pills in. It does not appear to be all that concerned with the ghosts or special items.",1.0,1.0,0.0,0.0,0.0,0.0,6.0,"Since the green pixels seem to indicate the AI's priority is tracking areas where it has already cleared out the regular pills, I assume they are its focus. It does not really interact with special items and it doesn't avoid the ghosts all that much.",3.0,"The agent seemed to mostly be focusing on the regular pills, it did not seem to be trying to eat the ghosts. It appeared to mostly be focused on what was directly in front of it",1.0,1.0,0.0,0.0,0.0,0.0,3.0,"I think the agent was mostly focused on itself and the regular pills in its immediate vicinity, due to the location of the green pixels in each scene, but I am not too confident because it is possible I misinterpreted what I saw.",4.0,"This AI seems a bit confused at first, but by the end it seems to be focusing on what it immediately in front of it, and a corner about seven regular pills down. I think it might be trying to find long stretches of regular pills to build up points. It does not really do anything to avoid ghosts, even when one is moving towards it.",1.0,1.0,0.0,0.0,0.0,0.0,2.0,"The AI doesn't have much success at first, and appears to only focus on what is immediately around it, so it is hard to tell what it is doing at first. In the last scene it seems to have worked out a strategy to gain a number of regular pills, so that is my only real indication of what it is focused on.",4.0,2.0,2.0,,3.0,5.0,none,1.0,1.0,1.0,7.0,"While Agent A is not perfect, it seems to be having more success moving around the board than Agent B, which often appears to be confused or stuck, so I think it will have a better result.",2.0,2.0,1.0,1.0,"Both Player A and Player B seem to be effective at moving around the board and collecting points while for the most part avoiding ghosts. Player A seems to be slightly more successful at this, but their skill level is honestly so close it is very difficult for me to say with any certainty that that impression is correct, so while I am selecting Player A based on that impression, I am not really sure about this choice.",1.0,1.0,2.0,7.0,"Player B seems to be much more aware of its surroundings and seems more successful at moving around the board and collecting points. Player A seems to be stuck, confused, or lost the vast majority of the time.",4.0,4.0,1.0,,4.0,5.0,none,40.0,93ca227b,1508.16,44.87,342.22,221.42,242.94,102.97,187.03,93.96,0.0,0.0,0.5,0.0,0.5,0.0,1,1,1
6,103,17,1287063839,3.0,2.0,,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0,3.0,1,4,1.0,this AI is constantly going after the ghosts and eating them. He is precise on his movements towards the power pills and precise on having a ghost nearby to eat.,1.0,0.0,1.0,0.0,1.0,0.0,6.0,i believe the video shows a clear strategy of eating the ghosts and targeting power pills that are near the ghosts,1.0,the startegy of the agent was to get as many points as possible so he planned out his points and he planned on getting a pill right where 2 ghosts were so when he ate the pill he quickly got the points for eating the ghosts,0.0,1.0,1.0,0.0,1.0,0.0,6.0,becasue the green section was mostly directly in front of pacman and the way the video ended with him eating a power pill and quickly eating 2 ghosts,1.0,his startegy is just eating the power pills for points and not really going after the ghosts for more points.,1.0,1.0,1.0,0.0,0.0,0.0,7.0,all the AI did in this one was focus on itslef and not what the ghosts were doing. he focused on the pills and power pills but not in getting more points with the ghosts.,5.0,5.0,2.0,,5.0,2.0,great study,1.0,1.0,1.0,7.0,this particular AI goes after the ghosts after eating the power pill which results in more points,1.0,1.0,2.0,4.0,player B was pretty consistent with his strategy of getting more points by eating the ghosts compared to player A ,1.0,1.0,2.0,6.0,player B while slow got more points but eating more ghosts. Player A mainly focused on power pills not much of eating ghosts,5.0,5.0,4.0,,4.0,2.0,greats study,40.0,219ca227b,1062.11,51.79,135.12,176.99,109.94,91.52,88.25,91.98,1.0,1.0,1.5,1.0,0.0,0.0,1,1,0
7,104,17,1715065669,3.0,1.0,,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0,6.0,9,3,1.0,This one definetly focused on normal pills and avoided ghosts as they got extremely close. ,1.0,1.0,0.0,1.0,0.0,0.0,6.0,This just seemed clearer. He avoided the ghosts when they were close and was collecting normal pills frequently ,1.0,This one seemed just dead set on avoidance from a larger range. Unless they were blue,1.0,0.0,0.0,1.0,1.0,0.0,4.0,Just avoided a lot and it looked like when it wa blue it was heading towards it but I couldn’t verify for sure. ,2.0,It kinda just sits weounr mostly and seemed to avoid ghosts  or tried to,1.0,1.0,0.0,1.0,0.0,0.0,3.0,He just sat around mostly so it was focused on itself and it ran from ghosts once. It also collected normal pills along the way. ,4.0,3.0,3.0,,4.0,3.0,,1.0,1.0,1.0,7.0,B just stuck to areas more often and barley collected anything. ,1.0,1.0,1.0,5.0,It had better avoidance. They could result in it getting stuck in scenarios where ghosts came from a couple of directions but it also seemed to pursue a blue goat but could not verify. ,1.0,1.0,2.0,7.0,Again this A AI just seemed to sit around a lot while b was collecting. ,4.0,3.0,2.0,,3.0,4.0,,50.0,182ba227b,719.26,47.47,81.36,77.13,118.94,55.83,107.16,69.87,-1.0,0.0,0.0,0.0,3.0,1.0,1,1,1
8,105,17,775534312,3.0,1.0,,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0,3.0,4,1,2.0,This pacman seemed to try to avoid the ghost at all cost while eating the normal pills and seemed to try to save the super pills until they needed them. ,1.0,1.0,0.0,1.0,0.0,0.0,5.0,It the video you see the pacman changing its direction so that it dont run into the ghost. While eating as many normal pills as possible. ,3.0,This pacman didnt seem to have any strategy. He just ate the normal pills the entire time and got ate by a ghost.,1.0,1.0,0.0,0.0,0.0,0.0,7.0,The video showed us what the pacman did. It didnt show him eating any power pills or killing the ghost. The AI didnt seem to have any strategy. ,2.0,This AI mainly ate the power pills. While trying to eat as many ghost and normal pills to advance. ,1.0,1.0,1.0,0.0,0.0,0.0,7.0,During the video the ghost were flashing most of the time. And you see the pacman trying to eat the normal pills or going after the super pills. ,5.0,4.0,2.0,4.0,,,no,1.0,1.0,1.0,6.0,Player A was more conservative with its super pills. ,2.0,1.0,2.0,7.0,Player B seems to be more aware of the ghost and trying to avoid them and player A seems to be all over the place. ,1.0,1.0,1.0,5.0,Both players seem to have stategies but player A seems to make better decisions on which direction to go and when to eat the super pills. ,4.0,4.0,1.0,5.0,,,no,30.0,165ea227d,3513.83,63.81,790.53,1767.44,149.24,60.15,78.18,73.07,1.0,1.0,0.0,0.0,0.5,0.0,0,1,0
9,106,17,1870822282,4.0,2.0,,0.0,4.0,0.0,,,,,,,5.0,7,1,3.0,He seemed to just target normal pills.,0.0,1.0,1.0,0.0,1.0,0.0,7.0,In the snips of gameplay he seemed to focus on just normal pills then there was bits of the blue ghosts meaning he was using power pills as well. ,2.0,He seemed to be using power pills or similar to eat the ghosts. ,0.0,0.0,1.0,1.0,0.0,0.0,4.0,It's obvious he was focusing on the ghosts. ,1.0,He stayed in the corners away from the ghosts and just focused on the normal pills.,0.0,1.0,0.0,0.0,0.0,0.0,7.0,It showed him hoovering in the corner a lot. Like the corner was his protection. He focused mainly on the main pills.,2.0,2.0,5.0,2.0,,,,1.0,1.0,1.0,5.0,He seemed to be the stronger player. His board was more clear. Didn't run from the ghosts. ,1.0,1.0,2.0,7.0,They are using the blue ghost technique which seems to be very successful. ,1.0,1.0,1.0,7.0,They are employing the blue ghost technique which I think is a good technique. ,1.0,1.0,5.0,1.0,,,,30.0,197ea227b,931.39,49.39,159.06,120.11,93.35,87.73,72.05,79.94,-1.0,0.0,0.0,1.0,0.5,1.0,0,1,0
11,108,17,623632743,3.0,1.0,,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0,3.0,4,1,4.0,It tries to stay away from the ghosts and it waits until the ghosts are away to start moving again.,1.0,1.0,0.0,1.0,0.0,0.0,5.0,It tries to get as many points as it can while staying away from the ghosts or going away from the ghosts.,2.0,It tries to get the pills while also getting too close to the ghosts and ends up getting eaten.,1.0,1.0,0.0,0.0,0.0,0.0,4.0,It is what I saw. It was not doing anything else besides trying to get points but it was getting caught.,1.0,It went for the power pills and turned the ghosts blue so it could eat the ghosts and to also get more pills.,1.0,0.0,1.0,0.0,1.0,0.0,6.0,The ghosts were blue in almost all the clips. It was going mostly for power pills so the ghosts could go blue.,4.0,3.0,2.0,4.0,,,,1.0,1.0,2.0,6.0,Player B is more focused on getting the power pills so the ghosts can turn blue and in turn it could get more points.,1.0,1.0,2.0,6.0,Player B focused on staying away from the ghosts or turning them blue while Player A kept getting eaten.,1.0,1.0,1.0,6.0,"Player B kept getting themselves into situations where they were getting eaten more by the ghosts and in some parts being chased by them, while Player A tried to get away from them.",4.0,4.0,2.0,4.0,,,,10.0,70da227b,820.4,42.53,118.99,88.37,90.86,75.26,66.28,93.83,1.0,1.0,0.0,0.0,0.5,0.0,0,0,0
12,109,17,1635293521,4.0,2.0,,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0,3.0,10,3,1.0,"The agent would move towards ghosts and pills, he was confused and tried to eat the ghosts without them being turned blue. ",1.0,1.0,0.0,1.0,0.0,0.0,6.0,"The agent would move towards the regular ghosts and pills, otherwise it was confused. ",2.0,The agent had no idea what it was doing it barely moved or didn't move at all. If there were no pills around it didn't know what to do. ,1.0,1.0,0.0,0.0,0.0,0.0,6.0,"If there were pills in front of pacman he would move towards them, otherwise he stood still or barely moved and was confused. ",2.0,"The agent started off not moving or knowing what to do, then he was interested in what was in front of him. ",1.0,1.0,0.0,1.0,0.0,0.0,5.0,The agent would move towards ghosts and pills if they were in front of him. In one scene he went a long way of no pills to just get one off the the left and then went back and headed towards a ghost. ,3.0,3.0,4.0,,3.0,3.0,,1.0,2.0,1.0,4.0,"player a has eaten more pills, and is avoiding the ghosts better than b",1.0,1.0,1.0,3.0,Player A has more pills missing so he has eaten more.,1.0,1.0,2.0,5.0,Player B moved more and ate a power pill. ,3.0,3.0,4.0,,3.0,3.0,,40.0,68ba227b,884.14,47.92,106.03,170.03,135.85,71.89,74.23,72.92,-1.0,0.0,0.0,0.0,0.5,0.0,1,1,1
