,seed,condition,explSatisfactionRetroAvg,retroScoreTotal
0,557891865,H,4.0,2.5
1,68830474,R+S,3.0,1.5
2,2002681643,H,2.0,4.0
3,1874171834,R+S,3.6,1.0
4,1287063839,H+S,4.2,2.5
5,1715065669,R+S,3.4,2.0
6,775534312,R,4.25,1.5
7,1870822282,R,1.75,-0.5
8,623632743,R,3.75,1.5
9,1635293521,R+S,2.8,-0.5
10,1148084735,H+S,3.8,1.0
11,1305723632,H,3.5,2.5
12,38889676,H+S,4.0,2.0
13,699418992,H,5.0,4.0
14,1759357643,H,4.25,1.0
15,427496151,R,2.5,1.5
16,2096912988,R+S,2.4,-0.5
17,1458931010,R,2.25,0.0
18,757835757,R+S,2.6,-2.0
19,282648137,R+S,3.0,0.5
20,236530476,H,4.25,-2.0
21,1443211561,R,3.75,4.5
22,434507198,R,4.5,4.0
23,1837403809,H,4.0,1.5
24,1652412399,R,3.25,2.5
25,1432055056,H+S,3.6,-1.5
26,593990547,R+S,2.6,1.0
27,705313840,H+S,3.4,4.0
28,477505071,R+S,1.8,-1.0
29,1465278508,R,3.5,2.5
30,1252980757,R+S,2.4,1.0
31,1382675841,R,3.5,0.5
32,1577044212,R,2.25,-1.0
33,226326109,H+S,2.4,2.5
34,2089098343,H,2.25,2.5
35,789380701,R+S,2.2,3.0
36,1326821841,H,1.25,-1.5
37,235688020,R+S,3.0,0.5
38,50717169,H+S,3.8,3.5
39,2023067297,R,2.5,4.0
40,1163374281,R,1.75,2.5
42,653376958,R+S,2.2,-1.0
43,336862049,R+S,4.0,0.5
44,1807248927,R+S,4.6,4.0
45,1822477299,H,4.75,3.5
46,541176760,R+S,3.0,1.5
47,2087412518,H,3.5,0.5
48,1578423006,R,3.0,-0.5
49,852621363,H+S,4.8,4.0
50,1048448609,R,5.0,0.5
52,222246938,R+S,3.2,4.0
53,683399566,R+S,1.4,3.0
54,1767874510,H,3.5,2.5
55,1715131218,H+S,3.6,3.5
56,1178614946,H+S,3.2,3.0
57,978303634,H+S,2.8,0.0
58,1301809332,R,4.25,2.0
59,658809771,R,3.75,-1.0
60,693097930,H+S,4.2,1.0
61,207578679,R+S,3.2,0.5
62,1846741617,R,2.75,3.0
63,1131549883,H,4.25,3.5
64,1522973322,H,4.0,3.0
65,637219723,H,4.0,2.0
66,1590186338,R+S,4.0,-4.5
67,734667562,R+S,3.0,1.5
68,367149909,R+S,4.2,-0.5
69,681384786,H+S,4.2,0.5
70,586314234,R,3.25,0.5
71,732458090,R+S,3.2,0.5
72,1984219625,H+S,4.6,2.5
73,250742246,R,1.0,2.5
74,94744373,R,4.0,4.0
75,2055234162,H,3.25,3.5
76,217310984,R,4.75,1.5
77,1904049906,H,3.25,4.5
79,1996232861,R,3.25,0.5
80,895906296,R,3.0,1.0
81,1214452674,H,3.75,1.0
82,1623276610,R,1.0,2.0
83,275354404,R,1.75,3.5
84,1646779043,H,4.5,0.5
85,1913892039,R,3.0,3.0
86,1177820867,H,3.25,5.0
87,59175996,R,3.5,-0.5
88,1346594710,R,3.5,2.5
89,1512760383,R,3.75,0.5
90,1033741460,H,3.75,2.5
91,2105134459,H,3.75,1.5
92,1799629507,R,4.25,-2.5
93,391897227,H,3.0,4.0
94,2101759680,H,4.5,4.0
95,70904040,H,3.25,2.0
96,153642576,R,3.5,1.5
97,2039935304,R,2.75,2.0
98,1322916604,H,4.0,1.5
99,1360625841,H,3.25,2.0
100,1634361010,H,3.75,4.0
101,33748036,H,3.75,2.5
102,1781403286,H,4.0,2.5
103,1517155957,H,3.5,4.0
104,1050764248,H,3.0,5.0
105,1670923366,R+S,4.8,-0.5
106,1129583388,R+S,3.6,0.5
107,1415842611,R+S,2.0,1.0
108,115781795,R+S,3.6,-1.0
109,1276897970,R+S,3.8,2.5
110,1358592148,R+S,4.4,0.0
111,1887854499,R+S,2.2,1.5
112,760811517,R+S,4.8,1.0
113,1830467496,R+S,1.8,2.5
114,2141819360,H+S,3.4,2.5
115,1709611248,H+S,4.0,1.5
116,1391761301,H+S,2.4,3.5
117,1138593938,H+S,3.6,4.0
118,253565907,H+S,3.0,3.5
119,500228672,H+S,4.0,2.5
120,314104341,H+S,4.0,5.5
121,1067017888,H+S,5.0,2.0
122,2093125023,H+S,2.4,3.5
123,277868103,H+S,4.0,2.0
125,516288534,H+S,2.4,4.0
126,330751914,H+S,2.8,4.5
127,1243732942,H+S,4.0,1.5
128,825665266,H+S,2.4,4.0
129,740325100,H+S,2.8,2.0
130,1765257760,H+S,4.0,3.5
131,65036542,H+S,2.2,0.5
