"id","submitdate","lastpage","startlanguage","seed","age","gender","gender[other]","colorVision","experiencePacman","experienceAI","experienceAI2[1]","experienceAI2[2]","experienceAI2[3]","experienceAI2[4]","experienceAI2[5]","experienceAI2[other]","outcomeAI[1]","randVideoSeed","randnumber","videoname1","videoname2","videoname3","retrospectionText","retrospectionQuest","next","infoPacman","gamePacman","regularPill","identifyPacman","powerPill","GhostsBlueWhen","GhostsBlueWhat","infoPacman2","gamePacman2","infoSummary","infoSaliency","greenArea","brightnessArea","quizSummary","infoSummary2","infoSaliency2","retrospectionVideo2","retrospectionClicks2","Intention2","retrospection2[1]","retrospection2[2]","retrospection2[3]","retrospection2[4]","retrospection2[5]","retrospection2[6]","RetrospectionConf2[predictConf1]","RetrospectionExpl2","retrospectionVideo3","retrospectionClicks3","Intention3","retrospection3[1]","retrospection3[2]","retrospection3[3]","retrospection3[4]","retrospection3[5]","retrospection3[6]","RetrospectionConf3[predictConf1]","RetrospectionExpl3","retrospectionVideo1","retrospectionClicks1","Intention1","retrospection1[1]","retrospection1[2]","retrospection1[3]","retrospection1[4]","retrospection1[5]","retrospection1[6]","RetrospectionConf1[predictConf1]","RetrospectionExpl1","explSatisfaction1[1]","explSatisfaction1[2]","explSatisfaction1[3]","explSatisfaction1[4]","explSatisfaction1[5]","explSatisfaction1[6]","comment1","trustDescription2","videos2","videoClicks2A","videoClicks2B","trustBool2","trustConfidence2[confidence1]","trustExpl2","trustDescription3","videos3","videoClicks3A","videoClicks3B","trustBool3","trustConfidence3[confidence1]","trustExpl3","trustDescription1","videos1","videoClicks1A","videoClicks1B","trustBool1","trustConfidence1[confidence1]","trustExpl1","explSatisfaction2[1]","explSatisfaction2[2]","explSatisfaction2[3]","explSatisfaction2[4]","explSatisfaction2[5]","explSatisfaction2[6]","comment2","bonus","code","submit","interviewtime","groupTime433","ageTime","genderTime","colorVisionTime","experiencePacmanTime","experienceAITime","experienceAI2Time","outcomeAITime","randVideoSeedTime","randnumberTime","groupTime503","videoname1Time","videoname2Time","videoname3Time","retrospectionTextTime","retrospectionQuestTime","nextTime","groupTime451","infoPacmanTime","gamePacmanTime","groupTime453","regularPillTime","identifyPacmanTime","powerPillTime","GhostsBlueWhenTime","GhostsBlueWhatTime","groupTime486","infoPacman2Time","gamePacman2Time","groupTime454","infoSummaryTime","infoSaliencyTime","groupTime455","greenAreaTime","brightnessAreaTime","quizSummaryTime","groupTime487","infoSummary2Time","infoSaliency2Time","groupTime512","retrospectionVideo2Time","retrospectionClicks2Time","Intention2Time","retrospection2Time","RetrospectionConf2Time","RetrospectionExpl2Time","groupTime513","retrospectionVideo3Time","retrospectionClicks3Time","Intention3Time","retrospection3Time","RetrospectionConf3Time","RetrospectionExpl3Time","groupTime510","retrospectionVideo1Time","retrospectionClicks1Time","Intention1Time","retrospection1Time","RetrospectionConf1Time","RetrospectionExpl1Time","groupTime511","explSatisfaction1Time","comment1Time","groupTime460","trustDescription2Time","videos2Time","videoClicks2ATime","videoClicks2BTime","trustBool2Time","trustConfidence2Time","trustExpl2Time","groupTime461","trustDescription3Time","videos3Time","videoClicks3ATime","videoClicks3BTime","trustBool3Time","trustConfidence3Time","trustExpl3Time","groupTime456","trustDescription1Time","videos1Time","videoClicks1ATime","videoClicks1BTime","trustBool1Time","trustConfidence1Time","trustExpl1Time","groupTime509","explSatisfaction2Time","comment2Time","groupTime479","bonusTime","codeTime","submitTime"
"97","","1","en","1767075698","3","2","","1","2","1","0","1","0","0","0","0","4","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.5","17.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"98","1980-01-01 00:00:00","17","en","557891865","3","2","","0","2","1","1","0","0","0","0","0","4","5","2","/surveys/upload/surveys/841769/files/agent1_highlights_div.mp4","/surveys/upload/surveys/841769/files/agent2_highlights_div.mp4","/surveys/upload/surveys/841769/files/agent3_highlights_div.mp4","","","","","","A3","A3","A2","A2","A1","","","","","","","A2","","","","1","I think this agent played the game like a typical pacman player. He went after the regular pills and used the power pills if he came across them..","1","1","0","0","0","0","4","I think that the agent went after the normal pills to get the most points and then the power pills when he needed help with the ghosts.","","1","The agent went after as many blue ghosts as possible ","0","0","0","0","1","0","5","It seemed like that was what the agent sought after the most","","1","The agent wanted to get all of the power pills first ","0","0","1","0","0","0","5","I noticed that the power pills is where the agent went straight away. ","4","4","2","4","","","","","","1","1","1","6","I think the that video A shows a smarter strategy than B","","","1","1","1","5","I picked A again because I think that A does a more effective job when it comes to the power pills and eating the ghosts ","","","1","1","2","5","I think that B does a better job with the power pills and not wasting them","4","4","2","4","","","","50","118da227b","","843.45","91.62","","","","","","","","","","1.15","","","","","","","147.23","","","28.46","","","","","","0.92","","","5.84","","","13.18","","","","0.55","","","129.07","","","","","","","84.25","","","","","","","93.76","","","","","","","17.87","","","81.05","","","","","","","","72.4","","","","","","","","53.13","","","","","","","","21.76","","","1.21","","",""
"99","1980-01-01 00:00:00","17","en","68830474","6","1","","0","4","1","0","1","0","0","0","0","4","9","3","/surveys/upload/surveys/841769/files/agent1_random_lrp_9.mp4","/surveys/upload/surveys/841769/files/agent2_random_lrp_9.mp4","/surveys/upload/surveys/841769/files/agent3_random_lrp_9.mp4","","","","","","A3","A3","A2","A2","A1","","","","","A1","A2","A2","","","","2","The strategy was to guess which way the ghosts were going to go and to change their path by changing it's own path.","1","1","0","1","0","0","6","The pacman obviously waited in certain situations or moved erratically to confuse the ghosts into changing directions.","","2","The pacman's strategy was to collect as many normal pills as possible while avoiding the ghosts.","1","1","0","1","0","0","6","It seemed obvious that pacman was collecting small pills while trying to avoid ghosts. ","","5","The agent seems stuck often. It may be waiting for ghosts to get closer.. There does not seem to be any strategy in this particular situation other than finding normal pills and hiding in the crossover.","1","1","0","0","0","0","2","I didn't see a strategy so I am not very confident in my answer.","4","4","5","","2","4","none","","","1","1","1","7","Pacman A played the game logically while pacman  B was confused and stopped often.","","","1","2","2","7","Pacman B collected as many points as possible while successfully avoiding ghosts.","","","1","1","2","6","Pacman A was confused about which direction to move in, if he moved at all.","3","5","2","","5","2","none","40","203ea227b","","1447.16","67.36","","","","","","","","","","0.95","","","","","","","183.68","","","80.19","","","","","","46.84","","","41.05","","","28.25","","","","0.87","","","171.38","","","","","","","166.49","","","","","","","286.86","","","","","","","52.23","","","88.36","","","","","","","","81.64","","","","","","","","89.84","","","","","","","","60.27","","","0.9","","",""
"100","1980-01-01 00:00:00","17","en","2002681643","4","2","","0","4","0","","","","","","","6","7","2","/surveys/upload/surveys/841769/files/agent1_highlights_div.mp4","/surveys/upload/surveys/841769/files/agent2_highlights_div.mp4","/surveys/upload/surveys/841769/files/agent3_highlights_div.mp4","","","","","","A3","A3","A2","A2","A1","","","","","","","A2","","","","1","It seems like the agent tried to eat as many ghosts as possible, while also eating the pills. Areas were cleared haphazardly.","1","0","1","0","1","0","6","The agent ate a few ghosts and a few pills and didn't seem to favor one over the other.","","1","This agent seems to be trying to clear as many pills as possible while also eating ghosts. ","1","1","0","0","1","0","5","It's hard to know what the AI is trying to do. If it plays well, it just comes across as someone playing a normal pacman game and trying not to die?","","1","It seems like the agent's strategy was to avoid the ghosts, not even eating them when they turned blue.","1","1","1","0","0","0","5","The agent focused only on eating both kinds of pills, and avoided the ghosts. I did not see him eat any fruit.","2","1","3","2","","","This is a little confusing honestly","","","1","1","1","6","Player A was eating  ghost, fruit, and pills which gets more points than B who only ate pills","","","1","1","2","5","Player B ate ghosts and fruit and cleared more of the pills.","","","1","1","2","6","Player B was eating ghosts. Player A was avoiding them. Ghosts are worth more points.","3","4","3","3","","","Honestly still a little confused","40","77ea227b","","825.83","52.88","","","","","","","","","","2.55","","","","","","","72.41","","","33.01","","","","","","10.64","","","18.49","","","24.73","","","","2.42","","","102.88","","","","","","","112.12","","","","","","","113.67","","","","","","","24.19","","","83.45","","","","","","","","66.88","","","","","","","","75.96","","","","","","","","27.97","","","1.58","","",""
"101","","0","en","489751988","","","","","","","","","","","","","","8","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"102","1980-01-01 00:00:00","17","en","1874171834","3","2","","0","3","1","1","0","0","0","0","0","3","9","3","/surveys/upload/surveys/841769/files/agent1_random_lrp_9.mp4","/surveys/upload/surveys/841769/files/agent2_random_lrp_9.mp4","/surveys/upload/surveys/841769/files/agent3_random_lrp_9.mp4","","","","","","A3","A3","A2","A2","A1","","","","","A1","A2","A2","","","","4","This AI seemed to find areas where it had already collected all the regular pills relevant, as those areas appear to have green pixels on them.  I think it must be trying to keep track of where it has already been in order to find new areas to collect pills in. It does not appear to be all that concerned with the ghosts or special items.","1","1","0","0","0","0","6","Since the green pixels seem to indicate the AI's priority is tracking areas where it has already cleared out the regular pills, I assume they are its focus. It does not really interact with special items and it doesn't avoid the ghosts all that much.","","3","The agent seemed to mostly be focusing on the regular pills, it did not seem to be trying to eat the ghosts. It appeared to mostly be focused on what was directly in front of it","1","1","0","0","0","0","3","I think the agent was mostly focused on itself and the regular pills in its immediate vicinity, due to the location of the green pixels in each scene, but I am not too confident because it is possible I misinterpreted what I saw.","","4","This AI seems a bit confused at first, but by the end it seems to be focusing on what it immediately in front of it, and a corner about seven regular pills down. I think it might be trying to find long stretches of regular pills to build up points. It does not really do anything to avoid ghosts, even when one is moving towards it.","1","1","0","0","0","0","2","The AI doesn't have much success at first, and appears to only focus on what is immediately around it, so it is hard to tell what it is doing at first. In the last scene it seems to have worked out a strategy to gain a number of regular pills, so that is my only real indication of what it is focused on.","4","2","2","","3","5","none","","","1","1","1","7","While Agent A is not perfect, it seems to be having more success moving around the board than Agent B, which often appears to be confused or stuck, so I think it will have a better result.","","","2","2","1","1","Both Player A and Player B seem to be effective at moving around the board and collecting points while for the most part avoiding ghosts. Player A seems to be slightly more successful at this, but their skill level is honestly so close it is very difficult for me to say with any certainty that that impression is correct, so while I am selecting Player A based on that impression, I am not really sure about this choice.","","","1","1","2","7","Player B seems to be much more aware of its surroundings and seems more successful at moving around the board and collecting points. Player A seems to be stuck, confused, or lost the vast majority of the time.","4","4","1","","4","5","none","40","93ca227b","","1508.16","44.87","","","","","","","","","","2.22","","","","","","","137.73","","","26.24","","","","","","1.64","","","45.36","","","14.19","","","","1.65","","","342.22","","","","","","","221.42","","","","","","","242.94","","","","","","","24.03","","","102.97","","","","","","","","187.03","","","","","","","","93.96","","","","","","","","17.97","","","1.72","","",""
"103","1980-01-01 00:00:00","17","en","1287063839","3","2","","0","2","1","0","0","0","1","0","0","3","1","4","/surveys/upload/surveys/841769/files/agent1_highlights_div_lrp.mp4","/surveys/upload/surveys/841769/files/agent2_highlights_div_lrp.mp4","/surveys/upload/surveys/841769/files/agent3_highlights_div_lrp.mp4","","","","","","A3","A3","A2","A2","A1","","","","","A1","A2","A2","","","","1","this AI is constantly going after the ghosts and eating them. He is precise on his movements towards the power pills and precise on having a ghost nearby to eat.","1","0","1","0","1","0","6","i believe the video shows a clear strategy of eating the ghosts and targeting power pills that are near the ghosts","","1","the startegy of the agent was to get as many points as possible so he planned out his points and he planned on getting a pill right where 2 ghosts were so when he ate the pill he quickly got the points for eating the ghosts","0","1","1","0","1","0","6","becasue the green section was mostly directly in front of pacman and the way the video ended with him eating a power pill and quickly eating 2 ghosts","","1","his startegy is just eating the power pills for points and not really going after the ghosts for more points.","1","1","1","0","0","0","7","all the AI did in this one was focus on itslef and not what the ghosts were doing. he focused on the pills and power pills but not in getting more points with the ghosts.","5","5","2","","5","2","great study","","","1","1","1","7","this particular AI goes after the ghosts after eating the power pill which results in more points","","","1","1","2","4","player B was pretty consistent with his strategy of getting more points by eating the ghosts compared to player A ","","","1","1","2","6","player B while slow got more points but eating more ghosts. Player A mainly focused on power pills not much of eating ghosts","5","5","4","","4","2","greats study","40","219ca227b","","1062.11","51.79","","","","","","","","","","1.84","","","","","","","160.7","","","28.1","","","","","","1.15","","","43.71","","","25.3","","","","1.37","","","135.12","","","","","","","176.99","","","","","","","109.94","","","","","","","33.4","","","91.52","","","","","","","","88.25","","","","","","","","91.98","","","","","","","","19.48","","","1.47","","",""
"104","1980-01-01 00:00:00","17","en","1715065669","3","1","","0","2","1","1","1","0","0","0","0","6","9","3","/surveys/upload/surveys/841769/files/agent1_random_lrp_9.mp4","/surveys/upload/surveys/841769/files/agent2_random_lrp_9.mp4","/surveys/upload/surveys/841769/files/agent3_random_lrp_9.mp4","","","","","","A3","A3","A2","A2","A1","","","","","A1","A2","A2","","","","1","This one definetly focused on normal pills and avoided ghosts as they got extremely close. ","1","1","0","1","0","0","6","This just seemed clearer. He avoided the ghosts when they were close and was collecting normal pills frequently ","","1","This one seemed just dead set on avoidance from a larger range. Unless they were blue","1","0","0","1","1","0","4","Just avoided a lot and it looked like when it wa blue it was heading towards it but I couldn’t verify for sure. ","","2","It kinda just sits weounr mostly and seemed to avoid ghosts  or tried to","1","1","0","1","0","0","3","He just sat around mostly so it was focused on itself and it ran from ghosts once. It also collected normal pills along the way. ","4","3","3","","4","3","","","","1","1","1","7","B just stuck to areas more often and barley collected anything. ","","","1","1","1","5","It had better avoidance. They could result in it getting stuck in scenarios where ghosts came from a couple of directions but it also seemed to pursue a blue goat but could not verify. ","","","1","1","2","7","Again this A AI just seemed to sit around a lot while b was collecting. ","4","3","2","","3","4","","50","182ba227b","","719.26","47.47","","","","","","","","","","0.89","","","","","","","53.52","","","23.09","","","","","","0.52","","","20.87","","","21.96","","","","1.34","","","81.36","","","","","","","77.13","","","","","","","118.94","","","","","","","25.31","","","55.83","","","","","","","","107.16","","","","","","","","69.87","","","","","","","","13.28","","","0.72","","",""
"105","1980-01-01 00:00:00","17","en","775534312","3","1","","0","4","1","1","1","0","0","0","0","3","4","1","/surveys/upload/surveys/841769/files/agent1_random_4.mp4","/surveys/upload/surveys/841769/files/agent2_random_4.mp4","/surveys/upload/surveys/841769/files/agent3_random_4.mp4","","","","","","A3","A3","A2","A2","A1","","","","","","","A2","","","","2","This pacman seemed to try to avoid the ghost at all cost while eating the normal pills and seemed to try to save the super pills until they needed them. ","1","1","0","1","0","0","5","It the video you see the pacman changing its direction so that it dont run into the ghost. While eating as many normal pills as possible. ","","3","This pacman didnt seem to have any strategy. He just ate the normal pills the entire time and got ate by a ghost.","1","1","0","0","0","0","7","The video showed us what the pacman did. It didnt show him eating any power pills or killing the ghost. The AI didnt seem to have any strategy. ","","2","This AI mainly ate the power pills. While trying to eat as many ghost and normal pills to advance. ","1","1","1","0","0","0","7","During the video the ghost were flashing most of the time. And you see the pacman trying to eat the normal pills or going after the super pills. ","5","4","2","4","","","no","","","1","1","1","6","Player A was more conservative with its super pills. ","","","2","1","2","7","Player B seems to be more aware of the ghost and trying to avoid them and player A seems to be all over the place. ","","","1","1","1","5","Both players seem to have stategies but player A seems to make better decisions on which direction to go and when to eat the super pills. ","4","4","1","5","","","no","30","165ea227d","","3513.83","63.81","","","","","","","","","","1.53","","","","","","","86.26","","","30.98","","","","","","1.54","","","15.03","","","311.48","","","","1.06","","","790.53","","","","","","","1767.44","","","","","","","149.24","","","","","","","54.32","","","60.15","","","","","","","","78.18","","","","","","","","73.07","","","","","","","","27.7","","","1.51","","",""
"106","1980-01-01 00:00:00","17","en","1870822282","4","2","","0","4","0","","","","","","","5","7","1","/surveys/upload/surveys/841769/files/agent1_random_7.mp4","/surveys/upload/surveys/841769/files/agent2_random_7.mp4","/surveys/upload/surveys/841769/files/agent3_random_7.mp4","","","","","","A3","A3","A2","A2","A1","","","","","","","A2","","","","3","He seemed to just target normal pills.","0","1","1","0","1","0","7","In the snips of gameplay he seemed to focus on just normal pills then there was bits of the blue ghosts meaning he was using power pills as well. ","","2","He seemed to be using power pills or similar to eat the ghosts. ","0","0","1","1","0","0","4","It's obvious he was focusing on the ghosts. ","","1","He stayed in the corners away from the ghosts and just focused on the normal pills.","0","1","0","0","0","0","7","It showed him hoovering in the corner a lot. Like the corner was his protection. He focused mainly on the main pills.","2","2","5","2","","","","","","1","1","1","5","He seemed to be the stronger player. His board was more clear. Didn't run from the ghosts. ","","","1","1","2","7","They are using the blue ghost technique which seems to be very successful. ","","","1","1","1","7","They are employing the blue ghost technique which I think is a good technique. ","1","1","5","1","","","","30","197ea227b","","931.39","49.39","","","","","","","","","","0.76","","","","","","","78.72","","","39.63","","","","","","1.08","","","18.91","","","36.28","","","","49.04","","","159.06","","","","","","","120.11","","","","","","","93.35","","","","","","","26.28","","","87.73","","","","","","","","72.05","","","","","","","","79.94","","","","","","","","18.36","","","0.7","","",""
