"id","submitdate","lastpage","startlanguage","seed","age","gender","gender[other]","colorVision","experiencePacman","experienceAI","experienceAI2[1]","experienceAI2[2]","experienceAI2[3]","experienceAI2[4]","experienceAI2[5]","experienceAI2[other]","outcomeAI[1]","randVideoSeed","randnumber","videoname1","videoname2","videoname3","retrospectionText","retrospectionQuest","next","infoPacman","gamePacman","regularPill","identifyPacman","powerPill","GhostsBlueWhen","GhostsBlueWhat","infoPacman2","gamePacman2","infoSummary","infoSaliency","greenArea","brightnessArea","quizSummary","infoSummary2","infoSaliency2","retrospectionVideo1","retrospectionClicks1","Intention1","retrospection1[1]","retrospection1[2]","retrospection1[3]","retrospection1[4]","retrospection1[5]","retrospection1[6]","RetrospectionConf1[predictConf1]","RetrospectionExpl1","retrospectionVideo2","retrospectionClicks2","Intention2","retrospection2[1]","retrospection2[2]","retrospection2[3]","retrospection2[4]","retrospection2[5]","retrospection2[6]","RetrospectionConf2[predictConf1]","RetrospectionExpl2","retrospectionVideo3","retrospectionClicks3","Intention3","retrospection3[1]","retrospection3[2]","retrospection3[3]","retrospection3[4]","retrospection3[5]","retrospection3[6]","RetrospectionConf3[predictConf1]","RetrospectionExpl3","explSatisfaction1[1]","explSatisfaction1[2]","explSatisfaction1[3]","explSatisfaction1[4]","explSatisfaction1[5]","explSatisfaction1[6]","comment1","trustDescription1","videos1","videoClicks1A","videoClicks1B","trustBool1","trustConfidence1[confidence1]","trustExpl1","trustDescription2","videos2","videoClicks2A","videoClicks2B","trustBool2","trustConfidence2[confidence1]","trustExpl2","trustDescription3","videos3","videoClicks3A","videoClicks3B","trustBool3","trustConfidence3[confidence1]","trustExpl3","explSatisfaction2[1]","explSatisfaction2[2]","explSatisfaction2[3]","explSatisfaction2[4]","explSatisfaction2[5]","explSatisfaction2[6]","comment2","bonus","code","submit","interviewtime","groupTime514","ageTime","genderTime","colorVisionTime","experiencePacmanTime","experienceAITime","experienceAI2Time","outcomeAITime","randVideoSeedTime","randnumberTime","groupTime525","videoname1Time","videoname2Time","videoname3Time","retrospectionTextTime","retrospectionQuestTime","nextTime","groupTime515","infoPacmanTime","gamePacmanTime","groupTime516","regularPillTime","identifyPacmanTime","powerPillTime","GhostsBlueWhenTime","GhostsBlueWhatTime","groupTime523","infoPacman2Time","gamePacman2Time","groupTime517","infoSummaryTime","infoSaliencyTime","groupTime518","greenAreaTime","brightnessAreaTime","quizSummaryTime","groupTime524","infoSummary2Time","infoSaliency2Time","groupTime527","retrospectionVideo1Time","retrospectionClicks1Time","Intention1Time","retrospection1Time","RetrospectionConf1Time","RetrospectionExpl1Time","groupTime529","retrospectionVideo2Time","retrospectionClicks2Time","Intention2Time","retrospection2Time","RetrospectionConf2Time","RetrospectionExpl2Time","groupTime530","retrospectionVideo3Time","retrospectionClicks3Time","Intention3Time","retrospection3Time","RetrospectionConf3Time","RetrospectionExpl3Time","groupTime528","explSatisfaction1Time","comment1Time","groupTime519","trustDescription1Time","videos1Time","videoClicks1ATime","videoClicks1BTime","trustBool1Time","trustConfidence1Time","trustExpl1Time","groupTime520","trustDescription2Time","videos2Time","videoClicks2ATime","videoClicks2BTime","trustBool2Time","trustConfidence2Time","trustExpl2Time","groupTime521","trustDescription3Time","videos3Time","videoClicks3ATime","videoClicks3BTime","trustBool3Time","trustConfidence3Time","trustExpl3Time","groupTime526","explSatisfaction2Time","comment2Time","groupTime522","bonusTime","codeTime","submitTime"
"95","1980-01-01 00:00:00","17","en","2141819360","3","1","","0","4","1","1","0","0","0","0","0","3","4","4","/surveys/upload/surveys/583526/files/agent1_highlights_div_lrp.mp4","/surveys/upload/surveys/583526/files/agent2_highlights_div_lrp.mp4","/surveys/upload/surveys/583526/files/agent3_highlights_div_lrp.mp4","","","","","","A3","A3","A2","A2","A1","","","","","A1","A2","A2","","","","5","Stay in the Corners and Focus on the immediate surroundings","1","1","1","0","0","0","6","The highlighted Areas are around pacman itself, never somewhere else","","13","A more aggressive strategy, Eating and chasing the ghost when vulnerable.","1","1","1","0","1","0","2","Many Areas highlighted, AI ""Looks around"", focusses on the ghosts. Many situations where ghosts are blue and eaten","","9","Also aggressive strategy, tries Eating multiple ghost in a row. Maybe more high-score-orientated.","1","0","1","0","1","0","5","Focus is mostly on blue ghosts and pacman himself. ","3","3","2","","2","5","Videos too short and too fast. Additional information would be good.","","","2","1","2","6","Player B Looks around the map, eats ghosts. Player A stays in the Corners, self-centered","","","1","1","1","4","Player B stays in the Corners, not Eating ghosts.","","","6","3","1","3","seemed more succesful, Eating ghosts in a row","3","2","1","","3","4","","40","37aa21c1","","2097.18","85.75","","","","","","","","","","0.8","","","","","","","326.56","","","27.78","","","","","","1.08","","","80.24","","","43.38","","","","0.74","","","332.65","","","","","","","306.75","","","","","","","338.5","","","","","","","101.82","","","100.23","","","","","","","","96.48","","","","","","","","192.34","","","","","","","","60.85","","","1.23","","",""
"96","1980-01-01 00:00:00","17","en","1709611248","2","1","","0","2","1","1","1","0","0","0","0","4","2","4","/surveys/upload/surveys/583526/files/agent1_highlights_div_lrp.mp4","/surveys/upload/surveys/583526/files/agent2_highlights_div_lrp.mp4","/surveys/upload/surveys/583526/files/agent3_highlights_div_lrp.mp4","","","","","","A3","A3","A2","A2","A1","","","","","A1","A2","A2","","","","1","to get as many power pills as possible","0","0","1","0","0","0","7","every clip i saw was showing the pacman going for the power pill and then it would turn around","","2","it was trying to eat as many ghost as it could","0","0","0","0","1","0","5","i saw the pacman go for the blue ghost the most","","2","it was trying to get the power pills so that it could eat the ghost.","0","0","1","0","0","0","7","the ai was always trying to get the power pills first so that it could eat the ghost","4","4","2","","4","4","fun and cool survey","","","1","1","2","7","Player B had way more points because it went for the blue ghost while player A only was going for the power pills.","","","2","1","1","7","The other player did not go for any of the ghost which get you the most points. Player A had more points because it went for the blue ghost.","","","1","1","1","7","player A had more points and you want more points when playing this game. player A went for the blue ghost more often","4","4","1","","4","4","this was very fun and cool","30","79da21ca","","1009.11","42.72","","","","","","","","","","1.04","","","","","","","129.66","","","54.27","","","","","","0.58","","","38.46","","","66.3","","","","0.6","","","72.64","","","","","","","97.15","","","","","","","113.74","","","","","","","36.45","","","91.49","","","","","","","","142.55","","","","","","","","92.89","","","","","","","","28.12","","","0.45","","",""
"97","1980-01-01 00:00:00","17","en","1391761301","4","1","","0","2","1","0","1","1","0","0","0","3","5","4","/surveys/upload/surveys/583526/files/agent1_highlights_div_lrp.mp4","/surveys/upload/surveys/583526/files/agent2_highlights_div_lrp.mp4","/surveys/upload/surveys/583526/files/agent3_highlights_div_lrp.mp4","","","","","","A3","A3","A2","A2","A1","","","","","A1","A2","A2","","","","1","The strategy of the AI seemed to be to eat the power pills to a great extent.","1","0","1","0","0","0","6","The pac man really was only shown eating power pills and the smaller pills directly near them.","","3","The agent seemed to be paying attention to the area directly in front of it and partly to the areas directly to each side. It seemed to do what it thought was necessary right in it's immediate vicinity.  ","1","1","0","0","1","0","5","The agent seemed to be very interested in eating the blue ghosts and normal pills as opposed to anything else that I saw.","","1","The AI seemed to be confused at first and then went to eating the regular pills as well as power pills and then the blue ghosts. It seemed to progress in that fashion.","0","1","1","0","1","0","6","The clip showed the pacman eating regular pills then eventually power pills and blue ghosts.","3","2","3","","2","2","The heat maps really did not show much in my opinion it seemed like they were just right around the pacman's general area and really had no bearing on what the pacman did or were it wanted to go.","","","1","1","2","3","At first, player B shows some issues on where to go but by the end of the clip is maximizing the points it earns by eating regular pills power pills and blue ghosts. Player A is just eating power pills and not really maximizing points.","","","1","1","1","7","Player A not only ate the Power pills, it also ate regular pills and blue ghosts, causing a higher score, where player B just seemed to eat power pills.","","","1","1","2","5","Player A was consistently going after power pills and blue ghosts maximizing points, and even though it died, it still showed a more thorough grasp of what it was supposed to do as opposed to player A.  ","3","2","3","","3","2","Once again I am not sure the heat maps area good indicator of anything, and I would like to see more of the players performance to get a better understanding of how the agents play.","40","83ba21ca","","1186.22","52.75","","","","","","","","","","1.2","","","","","","","113.43","","","22.32","","","","","","0.72","","","30.49","","","22.85","","","","1.24","","","94.98","","","","","","","207.32","","","","","","","156.38","","","","","","","68.78","","","117.12","","","","","","","","97.99","","","","","","","","129.03","","","","","","","","69.09","","","0.53","","",""
"98","","6","en","1718942228","5","1","","0","2","1","1","0","0","1","0","0","4","9","4","/surveys/upload/surveys/583526/files/agent1_highlights_div_lrp.mp4","/surveys/upload/surveys/583526/files/agent2_highlights_div_lrp.mp4","/surveys/upload/surveys/583526/files/agent3_highlights_div_lrp.mp4","","","","","","A3","A3","A2","A2","A1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","852.62","111.36","","","","","","","","","","1.6","","","","","","","473.52","","","197.66","","","","","","2.24","","","66.24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"99","1980-01-01 00:00:00","17","en","1138593938","4","1","","0","4","1","1","1","0","0","0","0","2","1","4","/surveys/upload/surveys/583526/files/agent1_highlights_div_lrp.mp4","/surveys/upload/surveys/583526/files/agent2_highlights_div_lrp.mp4","/surveys/upload/surveys/583526/files/agent3_highlights_div_lrp.mp4","","","","","","A3","A3","A2","A2","A1","","","","","A1","A2","A2","","","","1","The strategy of this Pacman agents seems to be to mainly avoid the ghosts as it eats the normal pills on the screen. Although it can be seen eating a power pill, the clip still does not show Pacman seeking out and eating the ghosts. ","1","1","1","0","0","0","3","Since the Pacman agent doesn't seem to be seeking out and eating the ghosts, I concluded that it is mainly concerned with avoiding the ghosts while it eats the normal pills on the screen. ","","2","The strategy of this agent seems to be more aggressive than the previous two. It seems mostly concerned seeking out and eating the ghosts after consuming power pills. This agents seems intent on winning the round quickly","1","0","1","0","1","0","4","The agent eats several ghosts in these clips. It doesn't seem intent on avoiding the ghosts. To me, clearly this agent is aggressive.","","5","The strategy initially is to hide at the bottom and basically just stay away from the ghosts. In this second short clip, he is eating the ghosts. In the third and fourth clips, Pacman is simply eating pellets. In the last frame he is eating ghosts. When he eating the ghosts, it's an indication that he is relying on going after the power pellets on the screen. The strategy must be to seek out the power pellets so that the Pacman agent can go after the ghosts","1","0","1","0","1","0","2","When the Pacman agent is eating the ghosts, then the strategy has clearly been to seek out the power pellets on the screen. ","4","4","3","","4","3","no","","","1","1","2","5","I like that agent B seems to have a slightly more aggressive approach to the game. Agent A seems content on simply eating the normal pills and avoiding ghosts. I like that Agent B is shown consuming the normal and power pills, AND going after the ghosts (to get more points)","","","1","1","1","5","Agent A seems to take advantage more effectively of eating the power pills than Agent B. After eating the power pills, A seeks out the ghosts, while B does not. A has a more effective strategy ","","","1","1","2","4","I feel like this one is a close call. Both agents seem to play the game almost equally effective. I'm going with B, as it seems slightly more aggressive. But I might be wrong. ","4","3","3","","4","3","no","40","170aa21cc","","1844.13","75.07","","","","","","","","","","0.49","","","","","","","133.87","","","184.28","","","","","","0.66","","","57","","","109.79","","","","1.19","","","209.85","","","","","","","173.38","","","","","","","480.06","","","","","","","30.73","","","141.06","","","","","","","","111.35","","","","","","","","107.95","","","","","","","","27.01","","","0.39","","",""
"100","1980-01-01 00:00:00","17","en","253565907","3","1","","0","3","1","0","1","0","0","0","0","4","6","4","/surveys/upload/surveys/583526/files/agent1_highlights_div_lrp.mp4","/surveys/upload/surveys/583526/files/agent2_highlights_div_lrp.mp4","/surveys/upload/surveys/583526/files/agent3_highlights_div_lrp.mp4","","","","","","A3","A3","A2","A2","A1","","","","","A1","A2","A2","","","","2","get the power pills first ","1","0","1","0","0","0","7","because in the video the power pills got eaten first","","2","eat as many normal pills as possible ","0","1","1","0","1","0","5","the ai got the normal pills first then power pill and eat some ghosts","","2","eat the power pills and eat the ghosts for more points","1","0","1","0","1","0","7","the ai eat the power pills and then went for the blue ghosts","3","2","3","","3","4","enjoyed it","","","1","1","2","6","Player B was more focused on the normal pills","","","2","2","1","5","Player A used more of the game space","","","1","1","2","7","Player b seems more focus on getting more points","3","3","2","","4","4","good","30","78da21cb","","1213.68","76.83","","","","","","","","","","1.14","","","","","","","292.28","","","45.34","","","","","","0.63","","","67.55","","","30.14","","","","0.45","","","149.19","","","","","","","97.51","","","","","","","103.18","","","","","","","58.47","","","73.91","","","","","","","","107.1","","","","","","","","78.1","","","","","","","","30.78","","","1.08","","",""
"101","1980-01-01 00:00:00","17","en","500228672","5","1","","0","2","1","1","0","0","1","0","0","5","5","4","/surveys/upload/surveys/583526/files/agent1_highlights_div_lrp.mp4","/surveys/upload/surveys/583526/files/agent2_highlights_div_lrp.mp4","/surveys/upload/surveys/583526/files/agent3_highlights_div_lrp.mp4","","","","","","A3","A3","A2","A2","A1","","","","","A1","A2","A2","","","","7","Turns back after eating the power pill","1","1","1","0","0","0","5","I discovered Pacman turns back immediately eating the power pill","","2","To eat Blue ghosts, wait until they're nearby before eating the power pills","1","0","1","0","1","0","7","It eats up the blue ghost before eating the power pill","","4","To eat more ghosts, wait until they're nearby before eating the power pills","0","1","1","1","0","0","6","Iy moved all the way to eat more ghosts before eating the power pill","4","3","1","","4","4","","","","2","3","2","6","To eat more ghosts, wait until they're nearby before eating the power pills","","","1","1","1","3","Player A eats up more ghost","","","-1","-1","2","5","No idea","3","2","2","","4","2","","40","36ea21cc","","1657.95","32.15","","","","","","","","","","1.42","","","","","","","8.64","","","73.65","","","","","","1.86","","","36.11","","","315.96","","","","2.1","","","380.45","","","","","","","118.2","","","","","","","164.91","","","","","","","51.62","","","374.6","","","","","","","","49.12","","","","","","","","38.89","","","","","","","","7.04","","","1.23","","",""
"102","","4","en","182652939","3","1","","0","3","1","1","0","0","0","0","0","4","1","4","/surveys/upload/surveys/583526/files/agent1_highlights_div_lrp.mp4","/surveys/upload/surveys/583526/files/agent2_highlights_div_lrp.mp4","/surveys/upload/surveys/583526/files/agent3_highlights_div_lrp.mp4","","","","","","A3","A3","A3","A3","A1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","723.19","75.75","","","","","","","","","","2.37","","","","","","","61.63","","","447.34","","","","","","136.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"103","","2","en","1361633224","3","1","","0","1","1","1","0","0","0","0","0","4","6","4","/surveys/upload/surveys/583526/files/agent1_highlights_div_lrp.mp4","/surveys/upload/surveys/583526/files/agent2_highlights_div_lrp.mp4","/surveys/upload/surveys/583526/files/agent3_highlights_div_lrp.mp4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.53","26.03","","","","","","","","","","1.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"104","1980-01-01 00:00:00","17","en","314104341","3","1","","0","2","1","1","1","0","0","0","0","4","6","4","/surveys/upload/surveys/583526/files/agent1_highlights_div_lrp.mp4","/surveys/upload/surveys/583526/files/agent2_highlights_div_lrp.mp4","/surveys/upload/surveys/583526/files/agent3_highlights_div_lrp.mp4","","","","","","A3","A3","A2","A2","A1","","","","","A1","A2","A2","","","","1","The AI agent avoided the ghosts and prioritized the power pills.","1","0","1","0","0","0","7","The green heatmap focused on those 2 things. The gameplay showed the rest.","","5","The strategy of the AI agent was to eat the power pill and then go after the ghosts.","1","0","0","0","1","0","7","The green heatmap was constantly on pacman. The AI agent went on to go after the ghosts for more points.","","1","The AI agent was focused on getting the power pill and then chasing down the ghosts.","1","0","0","0","1","1","7","The gameplay and heatmap focused on those areas.","4","3","2","","4","5","No comments","","","1","1","2","5","Player B seemed to have more pills eaten than A. I think both had the same amount of ghosts.","","","1","1","1","5","I actually saw player A eat 2 ghosts and accumulate points.","","","2","1","2","5","Player B seemed to have eaten more ghosts. There were more blue ghosts in the center box.","4","4","2","","3","2","No comments","40","142da21cd","","922.96","58.72","","","","","","","","","","1.44","","","","","","","86","","","16.39","","","","","","1.12","","","65.63","","","28.9","","","","1.59","","","104.49","","","","","","","180.35","","","","","","","77.76","","","","","","","40.17","","","74.17","","","","","","","","88.95","","","","","","","","71.5","","","","","","","","25.02","","","0.76","","",""
