,action
0,1
1,6
2,6
3,8
4,4
5,8
6,8
7,8
8,8
9,4
10,4
11,4
12,0
13,7
14,4
15,4
16,4
17,4
18,7
19,7
20,4
21,4
22,4
23,4
24,8
25,7
26,7
27,7
28,7
29,7
30,4
31,7
32,4
33,7
34,7
35,7
36,7
37,2
38,2
39,2
40,2
41,2
42,2
43,7
44,7
45,2
46,0
47,7
48,7
49,0
50,0
51,5
52,0
53,4
54,2
55,2
56,1
57,1
58,7
59,7
60,7
61,1
62,1
63,1
64,1
65,1
66,1
67,8
68,6
69,6
70,6
71,6
72,6
73,6
74,6
75,6
76,6
77,6
78,1
79,7
80,7
81,7
82,7
83,1
84,1
85,1
86,3
87,8
88,8
89,8
90,8
91,8
92,8
93,8
94,8
95,8
96,8
97,8
98,8
99,4
100,4
101,4
102,4
103,4
104,4
105,4
106,4
107,4
108,8
109,8
110,8
111,8
112,8
113,8
114,8
115,8
116,8
117,8
118,4
119,4
120,4
121,4
122,4
123,4
124,4
125,8
126,4
127,8
128,8
129,8
130,8
131,8
132,8
133,4
134,4
135,4
136,4
137,4
138,4
139,4
140,8
141,8
142,8
143,8
144,8
145,8
146,8
147,8
148,8
149,8
150,8
151,8
152,8
153,8
154,8
155,8
156,8
157,8
158,8
159,8
160,8
161,8
162,8
163,8
164,8
165,6
166,8
167,8
168,8
169,8
170,6
171,6
172,6
173,6
174,6
175,2
176,2
177,8
178,2
179,6
180,6
181,2
182,2
183,1
184,1
185,6
186,6
187,5
188,5
189,5
190,1
191,1
192,1
193,1
194,1
195,1
196,1
197,1
198,1
199,1
200,6
201,6
202,5
203,6
204,6
205,6
206,6
207,6
208,6
209,6
210,2
211,8
212,8
213,8
214,6
215,6
216,6
217,6
218,4
219,6
220,6
221,6
222,4
223,4
224,4
225,4
226,4
227,4
228,6
229,6
230,6
231,6
232,6
233,6
234,6
235,6
236,6
237,6
238,6
239,6
240,6
241,6
242,6
243,6
244,6
245,6
246,6
247,6
248,8
249,8
250,8
251,8
252,8
253,8
254,3
255,8
256,8
257,8
258,8
259,8
260,6
261,6
262,6
263,6
264,6
265,6
266,6
267,6
268,6
269,6
270,8
271,3
272,8
273,7
274,8
275,8
276,8
277,8
278,7
279,2
280,2
281,2
282,2
283,1
284,1
285,2
286,2
287,2
288,8
289,2
290,2
291,2
292,2
293,2
294,2
295,5
296,2
297,4
298,2
299,2
300,2
301,4
302,2
303,4
304,4
305,4
306,4
307,4
308,8
309,8
310,4
311,4
312,4
313,6
314,8
315,7
316,8
317,8
318,8
319,8
320,8
321,8
322,8
323,8
324,6
325,6
326,8
327,4
328,4
329,6
330,6
331,6
332,6
333,6
334,6
335,6
336,6
337,6
338,6
339,6
340,6
341,6
342,6
343,6
344,6
345,6
346,6
347,6
348,6
349,6
350,6
351,6
352,6
353,6
354,6
355,6
356,6
357,6
358,6
359,6
360,6
361,6
362,6
363,6
364,6
365,6
366,6
367,6
368,6
369,6
370,6
371,6
372,6
373,6
374,6
375,6
376,6
377,6
378,6
379,6
380,6
381,6
382,6
383,6
384,6
385,6
386,6
387,6
388,6
389,6
390,6
391,6
392,6
393,6
394,6
395,6
396,6
397,6
398,6
399,6
400,6
401,6
402,6
403,6
404,6
405,6
406,6
407,6
408,6
409,6
410,6
411,6
412,6
413,6
414,6
415,6
416,6
417,6
418,6
419,6
420,6
421,6
422,6
423,6
424,6
425,6
426,6
427,6
428,6
429,6
430,6
431,6
432,6
433,6
434,6
435,6
436,6
437,6
438,6
439,6
440,6
441,6
442,6
443,6
444,6
445,6
446,6
447,6
448,6
449,6
450,6
451,6
452,6
453,6
454,6
455,6
456,6
457,6
458,6
459,6
460,6
461,6
462,6
463,6
464,6
465,6
466,6
467,6
468,6
469,6
470,6
471,6
472,6
473,6
474,6
475,6
476,6
477,6
478,6
479,6
480,6
481,6
482,6
483,6
484,6
485,6
486,6
487,8
488,8
489,6
490,6
491,6
492,6
493,6
494,6
495,6
496,6
497,6
498,6
499,8
500,8
501,8
502,8
