state,importance
67,6.7341402
322,6.2511553
321,6.2171355
324,6.1191333
325,6.0860785
323,5.9627203
326,5.943193
389,5.8722706
390,5.8389513
320,5.8034118
391,5.6171908
329,5.6148997
1152,5.5814582
1153,5.5770731
388,5.5338958
1151,5.5225052
327,5.4996782
332,5.4623991
393,5.4622786
318,5.4590967
1154,5.4541102
338,5.4419252
330,5.4326696
1155,5.4282829
1217,5.4273134
317,5.426626
105,5.4258406
1157,5.4161393
1150,5.4121017
331,5.4094214
328,5.4090576
392,5.3939951
1144,5.3863161
339,5.3446004
345,5.3345271
1167,5.329133
1148,5.3004519
1218,5.2919295
1156,5.2670722
1160,5.2640414
1149,5.2533176
1147,5.2526005
165,5.2362963
316,5.2264481
313,5.2159638
315,5.2127335
319,5.2115051
1145,5.1705752
335,5.162323
336,5.1538044
337,5.1521037
147,5.1318887
394,5.1094334
314,5.1048097
1143,5.0976677
1159,5.0894089
1158,5.0736615
1163,5.0502635
148,5.0416992
387,5.0398214
106,5.0309656
346,5.0167637
1216,5.0162807
341,5.0114415
108,5.0085811
104,5.0074819
196,4.9938084
133,4.9902152
1177,4.984617
334,4.9754622
340,4.974386
164,4.95838
1166,4.9511469
152,4.9479503
146,4.9317986
1219,4.9267685
1168,4.9241159
101,4.912506
107,4.9007921
134,4.8852325
1161,4.8847971
311,4.8782027
312,4.8731598
153,4.8704334
342,4.8642249
1176,4.8607428
156,4.8558621
395,4.8556753
120,4.8536579
343,4.8380338
193,4.8379974
1146,4.8371144
157,4.832594
1175,4.8263083
103,4.8255321
1172,4.8249927
1173,4.8235494
1142,4.822335
154,4.8211394
1162,4.8194546
166,4.8162868
1170,4.809053
1220,4.803819
396,4.8015495
959,4.7954427
90,4.7945383
89,4.7938731
168,4.7926498
119,4.7882276
353,4.7880136
352,4.7777308
985,4.7774205
349,4.7706157
93,4.7705805
1174,4.7701312
145,4.765757
124,4.7624115
121,4.7589404
893,4.74992
344,4.7429647
122,4.7362648
351,4.7290743
192,4.7281197
1004,4.7259269
171,4.719271
996,4.7115632
155,4.7099459
78,4.7005338
1215,4.6995081
149,4.6989748
190,4.6974998
178,4.6959313
333,4.6942794
87,4.689049
999,4.6807211
194,4.6784741
161,4.6768128
112,4.6757057
195,4.6718177
960,4.6714277
931,4.6676583
174,4.656177
151,4.6527136
347,4.6524456
1169,4.6522946
348,4.6508359
96,4.6501195
135,4.6488835
162,4.6482397
136,4.6439502
1165,4.643418
972,4.6433637
946,4.6371997
131,4.6360757
1164,4.6297352
1003,4.6228646
130,4.6205489
930,4.6180113
85,4.6174439
127,4.6148865
128,4.6136244
981,4.6082165
113,4.6060416
350,4.6038452
81,4.6038331
933,4.601787
114,4.5980887
132,4.5936492
932,4.5934385
1000,4.5925019
974,4.5895602
125,4.5866571
91,4.5784189
947,4.5774359
100,4.5763266
993,4.5757755
138,4.5754748
150,4.5734553
123,4.5732037
191,4.5719448
1222,4.5718077
1014,4.570777
986,4.5706039
175,4.5692772
170,4.5686229
1182,4.5620065
1171,4.5601106
197,4.556554
1180,4.5518822
1140,4.5480278
80,4.5470878
177,4.5463041
160,4.5449485
187,4.5445044
118,4.5422351
1221,4.5418563
937,4.5340813
77,4.5328186
934,4.5308709
973,4.5302203
129,4.5292779
949,4.5289811
915,4.5268271
182,4.5266529
137,4.522779
183,4.5221085
188,4.5187515
88,4.5168177
84,4.5163126
169,4.5157513
1139,4.5156686
991,4.5121316
94,4.5052572
977,4.5043359
976,4.5040238
189,4.5035851
86,4.4991488
144,4.493684
102,4.4925795
186,4.4911192
984,4.4889194
1179,4.4882469
92,4.4838193
355,4.4801727
158,4.4783999
397,4.4717212
159,4.4682948
1008,4.4627832
141,4.4597293
919,4.4511986
354,4.4476836
163,4.4415755
1001,4.437744
987,4.4358755
906,4.4327232
950,4.4274302
167,4.4262875
1002,4.4242519
83,4.4239883
944,4.4208163
176,4.4170886
907,4.4147561
310,4.4121391
961,4.4066571
126,4.4048081
1183,4.4016946
82,4.3991178
911,4.3981233
79,4.3977875
912,4.3976916
1005,4.397505
185,4.3935937
111,4.3912183
1010,4.3902452
953,4.3884833
994,4.3867767
929,4.3851193
938,4.3822073
173,4.3820442
998,4.3813867
181,4.3808576
988,4.3783716
386,4.3771268
1178,4.3748049
1017,4.3706208
140,4.36684
954,4.3615753
997,4.3602921
990,4.3593217
916,4.3504922
198,4.3477346
1224,4.3430826
939,4.3414596
1009,4.3380782
975,4.3330649
1006,4.3311047
76,4.331042
179,4.3305436
962,4.328996
957,4.3272394
1181,4.326375
903,4.3220179
400,4.3149802
899,4.31259
110,4.3102178
980,4.3053662
97,4.3044493
963,4.3036168
945,4.296905
927,4.2910729
95,4.2906945
70,4.2830573
184,4.2811081
143,4.2808996
1015,4.2789352
910,4.278424
1011,4.2764005
1018,4.2724935
139,4.2708739
117,4.2692203
955,4.2665265
385,4.2660826
995,4.2555042
1141,4.2523912
1016,4.2376742
1223,4.2359899
909,4.2305894
992,4.2290036
908,4.2241452
940,4.2238978
956,4.2230786
398,4.2186972
902,4.2150698
897,4.2150113
109,4.2121302
914,4.2079559
948,4.2010464
898,4.2003124
75,4.1982313
983,4.1964647
901,4.1960135
952,4.1958559
172,4.1940595
309,4.1903199
979,4.1777602
1013,4.1730465
1214,4.169204
72,4.1666398
894,4.1664714
74,4.1657312
73,4.1604102
936,4.1580922
1226,4.1564328
970,4.151553
982,4.1506591
905,4.1496677
918,4.1444274
900,4.1442236
913,4.1416871
904,4.1404236
926,4.1402869
1007,4.1383527
958,4.1362406
895,4.1362246
920,4.1324859
928,4.1283914
603,4.1220987
917,4.1206348
989,4.119909
967,4.114904
978,4.1129619
971,4.1086684
966,4.104121
399,4.1027519
116,4.1012612
1138,4.0999735
965,4.0884461
308,4.0874599
115,4.0801099
1012,4.0584732
951,4.0537419
180,4.0416868
1184,4.0406878
1135,4.0387822
922,4.0336776
943,4.0316689
68,4.0289534
142,4.0201163
307,4.0186783
71,3.995877
380,3.9901392
99,3.9859902
403,3.9796659
969,3.9778898
896,3.9554299
199,3.9518489
921,3.9503144
301,3.949858
405,3.9486357
1137,3.9417202
1118,3.9321442
1136,3.932135
373,3.9312474
1019,3.9291605
964,3.91322007
384,3.9109118
935,3.9081069
361,3.8920041
356,3.8676838
1020,3.8667937
1021,3.8651241
402,3.8592074
406,3.8466571
1186,3.843955
1225,3.838483
401,3.8207243
69,3.8069394
968,3.8039703
383,3.7994389
372,3.79812
370,3.7967101
297,3.7965251
305,3.7891237
306,3.7842109
1134,3.7831844
300,3.7830923
98,3.7819908
298,3.7459054
371,3.732448
379,3.7301866
1228,3.7299339
1114,3.7001879
369,3.6972439
408,3.6814324
1093,3.67540774
1185,3.6724715
925,3.6481721
1132,3.6461822
1112,3.6402209
923,3.6325257
358,3.6313343
941,3.6287051
409,3.62864
942,3.6221582
1133,3.6214653
367,3.6189989
1115,3.6156327
381,3.6147851
244,3.6120659
1200,3.6068354
1208,3.6021305
1187,3.6002981
304,3.6002376
1199,3.5882479
1130,3.5795186
359,3.5771639
407,3.5726102
1194,3.567683
368,3.5670103
1201,3.56566186
1064,3.5652566
1190,3.5634634
303,3.5612994
1212,3.5578664
366,3.5473585
296,3.5457891
1113,3.5449218
1213,3.5414344
1227,3.5386982
286,3.5385853
404,3.5347384
357,3.53189364
1094,3.530019
1063,3.5287383
272,3.5269204
1117,3.5237692
1131,3.5221014
375,3.5171264
1111,3.514845
1129,3.5115477
