,state,q_values,importance
0,10,"[ 0.04688396  0.0649766  -0.5618872   0.0310469   0.04443289  0.09205383
 -0.00375957  0.06758786  0.04006737]",0.024465970000000004
1,100,"[ 1.7501113  -2.8262153  -2.6270776  -2.1563919  -0.2578277   1.6966994
  0.03686644 -1.0639529  -2.1477425 ]",0.05341189999999996
2,1000,"[ 5.0528222e-01 -3.0280991e+00 -2.3971355e+00 -2.3437200e+00
  1.5131277e+00  2.4146943e-01  1.7873687e+00 -5.1873224e-04
 -2.6767228e+00]",0.27424099999999996
3,1001,"[ 0.4978742  -2.6497037  -2.156982   -2.0213077   1.2526643   0.33569056
  1.5396836   0.08637553 -2.3309624 ]",0.2870193000000001
4,1002,"[ 0.6325393  -3.0064635  -2.207402   -2.2249107   1.4258094   0.2708481
  1.789909   -0.00673063 -2.5230482 ]",0.3640996000000001
5,1003,"[ 0.59174776 -2.8868687  -2.208794   -2.1668777   1.26536     0.3964314
  1.639541   -0.03247647 -2.497099  ]",0.3741809999999999
6,1004,"[ 0.55431384 -2.9072611  -2.2318156  -2.1873665   1.3120654   0.37976062
  1.6159521  -0.11448162 -2.5086787 ]",0.30388669999999984
7,1005,"[ 0.61103356 -2.9829724  -2.3210654  -2.274861    1.2841016   0.5271204
  1.3245059  -0.11118796 -2.5866404 ]",0.04040429999999984
8,1006,"[ 0.6413561  -3.1094744  -2.3971632  -2.3018122   1.2752837   0.61500764
  1.2277242  -0.05017048 -2.6589103 ]",0.04755949999999998
9,1007,"[ 0.70421654 -3.21412    -2.500317   -2.3660555   1.2285379   0.73395777
  1.1371088  -0.08379052 -2.7463803 ]",0.09142910000000004
10,1008,"[ 0.71126795 -3.3077722  -2.5929446  -2.4794292   1.2717222   0.7478601
  1.1859801  -0.18401293 -2.8483872 ]",0.08574209999999982
11,1009,"[ 0.7241548 -3.3050559 -2.607141  -2.5267992  1.3280064  0.7038608
  1.1848143 -0.1561633 -2.869129 ]",0.14319210000000004
12,101,"[ 1.931704   -2.980802   -2.7972584  -2.3485594  -0.44337404  1.8465551
 -0.15108553 -1.2385962  -2.2720897 ]",0.08514890000000008
13,1010,"[ 0.6936777  -3.2756314  -2.5542617  -2.4427202   1.3110738   0.69911796
  1.1771346  -0.06105602 -2.8291    ]",0.13393919999999992
14,1011,"[ 0.62847817 -3.0540423  -2.3448033  -2.2082877   1.3372244   0.53861845
  1.2703339   0.07247991 -2.5415297 ]",0.06689049999999996
15,1012,"[ 0.46800336 -2.7743583  -2.0555618  -1.9693682   1.4158226   0.33950365
  1.4482193   0.19579886 -2.268011  ]",0.032396700000000056
16,1013,"[ 0.43379402 -2.7690701  -2.0641763  -1.9030316   1.327521    0.4851117
  1.322329    0.3504068  -2.2908812 ]",0.005191999999999863
17,1014,"[ 0.4959122  -2.924046   -2.212886   -2.0458379   1.4592803   0.48695177
  1.4705286   0.28726727 -2.4343352 ]",0.011248299999999878
18,1015,"[ 0.55077875 -3.1000643  -2.4074895  -2.256506    1.5121267   0.51396596
  1.4480168   0.10601599 -2.6583467 ]",0.06410990000000005
19,1016,"[ 0.38369676 -2.747353   -2.161107   -1.9661765   1.4888297   0.32474703
  1.3941016   0.24236476 -2.3608704 ]",0.09472809999999998
20,1017,"[ 0.34001347 -2.786613   -2.174731   -1.9895654   1.5087876   0.34734803
  1.3178447   0.3133282  -2.3891516 ]",0.19094290000000003
21,1018,"[ 0.37506747 -2.837834   -2.205586   -1.9969919   1.4821723   0.49279404
  1.2246464   0.25148806 -2.3585784 ]",0.2575259000000001
22,1019,"[ 0.4212304  -3.0756807  -2.4642155  -2.2654593   1.4925178   0.6637289
  1.1439029   0.12692198 -2.6467822 ]",0.34861489999999984
